year;month;produced_material;produced_material_production_type;produced_material_release_type;produced_material_quantity;component_material;component_material_production_type;component_material_release_type;component_material_quantity;plant_id
2024;1;10000;8002;FIN;990;50000;8002;PROD;990;RLT_10
2024;1;50000;8002;PROD;859;80070;8007;PROD;879;RLT_10
2024;1;50000;8002;PROD;859;90000;;ADD;50;RLT_10
2024;1;50000;8002;PROD;859;90001;;ADD;20;RLT_10
2024;1;80070;8007;PROD;929;80010;8001;PROD;3626;RLT_10
2024;1;80070;8007;PROD;929;90002;;ADD;30;RLT_10
2024;1;80070;8007;PROD;929;90003;;ADD;11;RLT_10
2024;1;80010;8001;PROD;1726;80000;8000;PROD;1818;RLT_10
2024;1;80010;8001;PROD;1726;90004;;ADD;101;RLT_10
2024;1;80000;8000;PROD;1980;70000;;RM;2668;RLT_10
2024;1;80000;8000;PROD;1980;90005;;ADD;68;RLT_10
2024;2;10000;8002;FIN;960;50000;8002;PROD;960;RLT_10
2024;2;50000;8002;PROD;839;80070;8007;PROD;980;RLT_10
2024;2;50000;8002;PROD;839;90000;;ADD;49;RLT_10
2024;2;50000;8002;PROD;839;90001;;ADD;22;RLT_10
2024;2;80070;8007;PROD;984;80010;8001;PROD;3338;RLT_10
2024;2;80070;8007;PROD;984;90002;;ADD;33;RLT_10
2024;2;80070;8007;PROD;984;90003;;ADD;10;RLT_10
2024;2;80010;8001;PROD;1629;80000;8000;PROD;1876;RLT_10
2024;2;80010;8001;PROD;1629;90004;;ADD;104;RLT_10
2024;2;80000;8000;PROD;1829;70000;;RM;2522;RLT_10
2024;2;80000;8000;PROD;1829;90005;;ADD;73;RLT_10
2024;3;10000;8002;FIN;968;50000;8002;PROD;968;RLT_10
2024;3;50000;8002;PROD;721;80070;8007;PROD;1034;RLT_10
2024;3;50000;8002;PROD;721;90000;;ADD;46;RLT_10
2024;3;50000;8002;PROD;721;90001;;ADD;22;RLT_10
2024;3;80070;8007;PROD;989;80010;8001;PROD;3555;RLT_10
2024;3;80070;8007;PROD;989;90002;;ADD;32;RLT_10
2024;3;80070;8007;PROD;989;90003;;ADD;11;RLT_10
2024;3;80010;8001;PROD;1954;80000;8000;PROD;2192;RLT_10
2024;3;80010;8001;PROD;1954;90004;;ADD;96;RLT_10
2024;3;80000;8000;PROD;2002;70000;;RM;2724;RLT_10
2024;3;80000;8000;PROD;2002;90005;;ADD;76;RLT_10
2024;4;10000;8002;FIN;1006;50000;8002;PROD;1006;RLT_10
2024;4;50000;8002;PROD;783;80070;8007;PROD;865;RLT_10
2024;4;50000;8002;PROD;783;90000;;ADD;46;RLT_10
2024;4;50000;8002;PROD;783;90001;;ADD;19;RLT_10
2024;4;80070;8007;PROD;896;80010;8001;PROD;3541;RLT_10
2024;4;80070;8007;PROD;896;90002;;ADD;30;RLT_10
2024;4;80070;8007;PROD;896;90003;;ADD;9;RLT_10
2024;4;80010;8001;PROD;1781;80000;8000;PROD;1849;RLT_10
2024;4;80010;8001;PROD;1781;90004;;ADD;98;RLT_10
2024;4;80000;8000;PROD;1955;70000;;RM;2729;RLT_10
2024;4;80000;8000;PROD;1955;90005;;ADD;70;RLT_10
2024;5;10000;8002;FIN;1004;50000;8002;PROD;1004;RLT_10
